id,lang,type,code_raw,code_masked,masked
3054,java,expression_statement,public ListMailboxPermissionsResult listMailboxPermissions(ListMailboxPermissionsRequest request) {request = beforeClientExecution(request);return executeListMailboxPermissions(request);},public ListMailboxPermissionsResult listMailboxPermissions(ListMailboxPermissionsRequest request) {<MASKED>return executeListMailboxPermissions(request);},request = beforeClientExecution(request);
3055,c#,expression_statement,"public virtual ListMailboxPermissionsResponse ListMailboxPermissions(ListMailboxPermissionsRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListMailboxPermissionsRequestMarshaller.Instance;options.ResponseUnmarshaller = ListMailboxPermissionsResponseUnmarshaller.Instance;return Invoke<ListMailboxPermissionsResponse>(request, options);}","public virtual ListMailboxPermissionsResponse ListMailboxPermissions(ListMailboxPermissionsRequest request){var options = new InvokeOptions();<MASKED>options.ResponseUnmarshaller = ListMailboxPermissionsResponseUnmarshaller.Instance;return Invoke<ListMailboxPermissionsResponse>(request, options);}",options.RequestMarshaller = ListMailboxPermissionsRequestMarshaller.Instance;
3056,java,expression_statement,public ConditionalFormattingTable(RecordStream rs) {while (rs.peekNextRecord() instanceof CFHeaderBase) {_cfHeaders.add(CFRecordsAggregate.createCFAggregate(rs));}},public ConditionalFormattingTable(RecordStream rs) {while (rs.peekNextRecord() instanceof CFHeaderBase) {<MASKED>}},_cfHeaders.add(CFRecordsAggregate.createCFAggregate(rs));
3057,c#,expression_statement,public ConditionalFormattingTable(RecordStream rs){IList temp = new ArrayList();while (rs.PeekNextClass() == typeof(CFHeaderRecord)){temp.Add(CFRecordsAggregate.CreateCFAggregate(rs));}_cfHeaders = temp;},public ConditionalFormattingTable(RecordStream rs){IList temp = new ArrayList();while (rs.PeekNextClass() == typeof(CFHeaderRecord)){temp.Add(CFRecordsAggregate.CreateCFAggregate(rs));}<MASKED>},_cfHeaders = temp;
3058,java,expression_statement,"public void decode(byte[] blocks, int blocksOffset, int[] values, int valuesOffset, int iterations) {for (int i = 0; i < iterations; ++i) {final int byte0 = blocks[blocksOffset++] & 0xFF;final int byte1 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = (byte0 << 4) | (byte1 >>> 4);final int byte2 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = ((byte1 & 15) << 8) | byte2;}}","public void decode(byte[] blocks, int blocksOffset, int[] values, int valuesOffset, int iterations) {for (int i = 0; i < iterations; ++i) {final int byte0 = blocks[blocksOffset++] & 0xFF;final int byte1 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = (byte0 << 4) | (byte1 >>> 4);final int byte2 = blocks[blocksOffset++] & 0xFF;<MASKED>}}",values[valuesOffset++] = ((byte1 & 15) << 8) | byte2;
3059,c#,expression_statement,"public override void Decode(byte[] blocks, int blocksOffset, int[] values, int valuesOffset, int iterations){for (int i = 0; i < iterations; ++i){int byte0 = blocks[blocksOffset++] & 0xFF;int byte1 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = (byte0 << 4) | ((int)((uint)byte1 >> 4));int byte2 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = ((byte1 & 15) << 8) | byte2;}}","public override void Decode(byte[] blocks, int blocksOffset, int[] values, int valuesOffset, int iterations){for (int i = 0; i < iterations; ++i){int byte0 = blocks[blocksOffset++] & 0xFF;int byte1 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = (byte0 << 4) | ((int)((uint)byte1 >> 4));int byte2 = blocks[blocksOffset++] & 0xFF;<MASKED>}}",values[valuesOffset++] = ((byte1 & 15) << 8) | byte2;
3060,java,expression_statement,"public ComposedQuery(List<SrndQuery> qs, boolean operatorInfix, String opName) {recompose(qs);this.operatorInfix = operatorInfix;this.opName = opName;}","public ComposedQuery(List<SrndQuery> qs, boolean operatorInfix, String opName) {recompose(qs);<MASKED>this.opName = opName;}",this.operatorInfix = operatorInfix;
3061,c#,expression_statement,"public ComposedQuery(IList<SrndQuery> qs, bool operatorInfix, string opName){Recompose(qs);this.operatorInfix = operatorInfix;this.m_opName = opName;}","public ComposedQuery(IList<SrndQuery> qs, bool operatorInfix, string opName){Recompose(qs);this.operatorInfix = operatorInfix;<MASKED>}",this.m_opName = opName;
3062,java,expression_statement,public TestRoleResult testRole(TestRoleRequest request) {request = beforeClientExecution(request);return executeTestRole(request);},public TestRoleResult testRole(TestRoleRequest request) {<MASKED>return executeTestRole(request);},request = beforeClientExecution(request);
3063,c#,expression_statement,"public virtual TestRoleResponse TestRole(TestRoleRequest request){var options = new InvokeOptions();options.RequestMarshaller = TestRoleRequestMarshaller.Instance;options.ResponseUnmarshaller = TestRoleResponseUnmarshaller.Instance;return Invoke<TestRoleResponse>(request, options);}","public virtual TestRoleResponse TestRole(TestRoleRequest request){var options = new InvokeOptions();options.RequestMarshaller = TestRoleRequestMarshaller.Instance;<MASKED>return Invoke<TestRoleResponse>(request, options);}",options.ResponseUnmarshaller = TestRoleResponseUnmarshaller.Instance;
3064,java,expression_statement,"public String toString() {final StringBuilder r = new StringBuilder();r.append(""("");for (int i = 0; i < subfilters.length; i++) {if (i > 0)r.append("" AND "");r.append(subfilters[i].toString());}r.append("")"");return r.toString();}","public String toString() {final StringBuilder r = new StringBuilder();r.append(""("");for (int i = 0; i < subfilters.length; i++) {if (i > 0)<MASKED>r.append(subfilters[i].toString());}r.append("")"");return r.toString();}","r.append("" AND "");"
3065,c#,string_literal,"public override string ToString(){StringBuilder r = new StringBuilder();r.Append(""("");for (int i = 0; i < subfilters.Length; i++){if (i > 0){r.Append("" OR "");}r.Append(subfilters[i].ToString());}r.Append("")"");return r.ToString();}","public override string ToString(){StringBuilder r = new StringBuilder();r.Append(<MASKED>);for (int i = 0; i < subfilters.Length; i++){if (i > 0){r.Append("" OR "");}r.Append(subfilters[i].ToString());}r.Append("")"");return r.ToString();}","""("""
3066,java,expression_statement,public ModifyVpcAttributeResult modifyVpcAttribute(ModifyVpcAttributeRequest request) {request = beforeClientExecution(request);return executeModifyVpcAttribute(request);},public ModifyVpcAttributeResult modifyVpcAttribute(ModifyVpcAttributeRequest request) {<MASKED>return executeModifyVpcAttribute(request);},request = beforeClientExecution(request);
3067,c#,expression_statement,"public virtual ModifyVpcAttributeResponse ModifyVpcAttribute(ModifyVpcAttributeRequest request){var options = new InvokeOptions();options.RequestMarshaller = ModifyVpcAttributeRequestMarshaller.Instance;options.ResponseUnmarshaller = ModifyVpcAttributeResponseUnmarshaller.Instance;return Invoke<ModifyVpcAttributeResponse>(request, options);}","public virtual ModifyVpcAttributeResponse ModifyVpcAttribute(ModifyVpcAttributeRequest request){var options = new InvokeOptions();options.RequestMarshaller = ModifyVpcAttributeRequestMarshaller.Instance;<MASKED>return Invoke<ModifyVpcAttributeResponse>(request, options);}",options.ResponseUnmarshaller = ModifyVpcAttributeResponseUnmarshaller.Instance;
3068,java,expression_statement,"public ArabicNormalizationFilterFactory(Map<String,String> args) {super(args);if (!args.isEmpty()) {throw new IllegalArgumentException(""Unknown parameters: "" + args);}}","public ArabicNormalizationFilterFactory(Map<String,String> args) {super<MASKED>if (!args.isEmpty()) {throw new IllegalArgumentException(""Unknown parameters: "" + args);}}",(args);
3069,c#,string_literal,"public ArabicNormalizationFilterFactory(IDictionary<string, string> args): base(args){if (args.Count > 0){throw new System.ArgumentException(""Unknown parameters: "" + args);}}","public ArabicNormalizationFilterFactory(IDictionary<string, string> args): base(args){if (args.Count > 0){throw new System.ArgumentException(<MASKED> + args);}}","""Unknown parameters: """
3070,java,expression_statement,"public TermQuery(Term t, TermStates states) {assert states != null;term = Objects.requireNonNull(t);perReaderTermState = Objects.requireNonNull(states);}","public TermQuery(Term t, TermStates states) {assert states != null;term = Objects.requireNonNull(t);<MASKED>}",perReaderTermState = Objects.requireNonNull(states);
3071,c#,expression_statement,"public TermQuery(Term t, TermContext states){Debug.Assert(states != null);term = t;docFreq = states.DocFreq;perReaderTermState = states;}","public TermQuery(Term t, TermContext states){<MASKED>term = t;docFreq = states.DocFreq;perReaderTermState = states;}",Debug.Assert(states != null);
3072,java,expression_statement,public GetClusterCredentialsResult getClusterCredentials(GetClusterCredentialsRequest request) {request = beforeClientExecution(request);return executeGetClusterCredentials(request);},public GetClusterCredentialsResult getClusterCredentials(GetClusterCredentialsRequest request) {<MASKED>return executeGetClusterCredentials(request);},request = beforeClientExecution(request);
3073,c#,expression_statement,"public virtual GetClusterCredentialsResponse GetClusterCredentials(GetClusterCredentialsRequest request){var options = new InvokeOptions();options.RequestMarshaller = GetClusterCredentialsRequestMarshaller.Instance;options.ResponseUnmarshaller = GetClusterCredentialsResponseUnmarshaller.Instance;return Invoke<GetClusterCredentialsResponse>(request, options);}","public virtual GetClusterCredentialsResponse GetClusterCredentials(GetClusterCredentialsRequest request){var options = new InvokeOptions();options.RequestMarshaller = GetClusterCredentialsRequestMarshaller.Instance;<MASKED>return Invoke<GetClusterCredentialsResponse>(request, options);}",options.ResponseUnmarshaller = GetClusterCredentialsResponseUnmarshaller.Instance;
3074,java,expression_statement,public UpdateClusterResult updateCluster(UpdateClusterRequest request) {request = beforeClientExecution(request);return executeUpdateCluster(request);},public UpdateClusterResult updateCluster(UpdateClusterRequest request) {<MASKED>return executeUpdateCluster(request);},request = beforeClientExecution(request);
3075,c#,expression_statement,"public virtual UpdateClusterResponse UpdateCluster(UpdateClusterRequest request){var options = new InvokeOptions();options.RequestMarshaller = UpdateClusterRequestMarshaller.Instance;options.ResponseUnmarshaller = UpdateClusterResponseUnmarshaller.Instance;return Invoke<UpdateClusterResponse>(request, options);}","public virtual UpdateClusterResponse UpdateCluster(UpdateClusterRequest request){var options = new InvokeOptions();<MASKED>options.ResponseUnmarshaller = UpdateClusterResponseUnmarshaller.Instance;return Invoke<UpdateClusterResponse>(request, options);}",options.RequestMarshaller = UpdateClusterRequestMarshaller.Instance;
3076,java,expression_statement,public LogCommand setMaxCount(int maxCount) {checkCallable();this.maxCount = maxCount;return this;},public LogCommand setMaxCount(int maxCount) {<MASKED>this.maxCount = maxCount;return this;},checkCallable();
3077,c#,expression_statement,public virtual NGit.Api.LogCommand SetMaxCount(int maxCount){CheckCallable();this.maxCount = maxCount;return this;},public virtual NGit.Api.LogCommand SetMaxCount(int maxCount){<MASKED>this.maxCount = maxCount;return this;},CheckCallable();
3078,java,expression_statement,public GetInsightRuleReportResult getInsightRuleReport(GetInsightRuleReportRequest request) {request = beforeClientExecution(request);return executeGetInsightRuleReport(request);},public GetInsightRuleReportResult getInsightRuleReport(GetInsightRuleReportRequest request) {<MASKED>return executeGetInsightRuleReport(request);},request = beforeClientExecution(request);
3079,c#,expression_statement,"public virtual GetInsightRuleReportResponse GetInsightRuleReport(GetInsightRuleReportRequest request){var options = new InvokeOptions();options.RequestMarshaller = GetInsightRuleReportRequestMarshaller.Instance;options.ResponseUnmarshaller = GetInsightRuleReportResponseUnmarshaller.Instance;return Invoke<GetInsightRuleReportResponse>(request, options);}","public virtual GetInsightRuleReportResponse GetInsightRuleReport(GetInsightRuleReportRequest request){var options = new InvokeOptions();options.RequestMarshaller = GetInsightRuleReportRequestMarshaller.Instance;<MASKED>return Invoke<GetInsightRuleReportResponse>(request, options);}",options.ResponseUnmarshaller = GetInsightRuleReportResponseUnmarshaller.Instance;
3080,java,expression_statement,"public CommonToken(Token oldToken) {type = oldToken.getType();line = oldToken.getLine();index = oldToken.getTokenIndex();charPositionInLine = oldToken.getCharPositionInLine();channel = oldToken.getChannel();start = oldToken.getStartIndex();stop = oldToken.getStopIndex();if (oldToken instanceof CommonToken) {text = ((CommonToken)oldToken).text;source = ((CommonToken)oldToken).source;}else {text = oldToken.getText();source = new Pair<TokenSource, CharStream>(oldToken.getTokenSource(), oldToken.getInputStream());}}","public CommonToken(Token oldToken) {type = oldToken.getType();line = oldToken.getLine();index = oldToken.getTokenIndex();charPositionInLine = oldToken.getCharPositionInLine();channel = oldToken.getChannel();start = oldToken.getStartIndex();stop = oldToken.getStopIndex();if (oldToken instanceof CommonToken) {text = ((CommonToken)oldToken).text;<MASKED>}else {text = oldToken.getText();source = new Pair<TokenSource, CharStream>(oldToken.getTokenSource(), oldToken.getInputStream());}}",source = ((CommonToken)oldToken).source;
3081,c#,expression_statement,"public CommonToken(IToken oldToken){_type = oldToken.Type;_line = oldToken.Line;index = oldToken.TokenIndex;charPositionInLine = oldToken.Column;_channel = oldToken.Channel;start = oldToken.StartIndex;stop = oldToken.StopIndex;if (oldToken is Antlr4.Runtime.CommonToken){_text = ((Antlr4.Runtime.CommonToken)oldToken)._text;source = ((Antlr4.Runtime.CommonToken)oldToken).source;}else{_text = oldToken.Text;source = Tuple.Create(oldToken.TokenSource, oldToken.InputStream);}}","public CommonToken(IToken oldToken){<MASKED>_line = oldToken.Line;index = oldToken.TokenIndex;charPositionInLine = oldToken.Column;_channel = oldToken.Channel;start = oldToken.StartIndex;stop = oldToken.StopIndex;if (oldToken is Antlr4.Runtime.CommonToken){_text = ((Antlr4.Runtime.CommonToken)oldToken)._text;source = ((Antlr4.Runtime.CommonToken)oldToken).source;}else{_text = oldToken.Text;source = Tuple.Create(oldToken.TokenSource, oldToken.InputStream);}}",_type = oldToken.Type;
3082,java,expression_statement,public ListSolutionsResult listSolutions(ListSolutionsRequest request) {request = beforeClientExecution(request);return executeListSolutions(request);},public ListSolutionsResult listSolutions(ListSolutionsRequest request) {<MASKED>return executeListSolutions(request);},request = beforeClientExecution(request);
3083,c#,expression_statement,"public virtual ListSolutionsResponse ListSolutions(ListSolutionsRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListSolutionsRequestMarshaller.Instance;options.ResponseUnmarshaller = ListSolutionsResponseUnmarshaller.Instance;return Invoke<ListSolutionsResponse>(request, options);}","public virtual ListSolutionsResponse ListSolutions(ListSolutionsRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListSolutionsRequestMarshaller.Instance;<MASKED>return Invoke<ListSolutionsResponse>(request, options);}",options.ResponseUnmarshaller = ListSolutionsResponseUnmarshaller.Instance;
3084,java,expression_statement,public final void end() {if (finalState != null) {restoreState(finalState);}},public final void end() {if (finalState != null) {<MASKED>}},restoreState(finalState);
3085,c#,expression_statement,public override void End(){if (finalState != null){RestoreState(finalState);}},public override void End(){if (finalState != null){<MASKED>}},RestoreState(finalState);
3086,java,expression_statement,"public DoubleBuffer put(int index, double c) {checkIndex(index);backingArray[offset + index] = c;return this;}","public DoubleBuffer put(int index, double c) {<MASKED>backingArray[offset + index] = c;return this;}",checkIndex(index);
3087,c#,expression_statement,"public override java.nio.DoubleBuffer put(int index, double c){checkIndex(index);backingArray[offset + index] = c;return this;}","public override java.nio.DoubleBuffer put(int index, double c){<MASKED>backingArray[offset + index] = c;return this;}",checkIndex(index);
3088,java,expression_statement,"public static long pop_union(long[] arr1, long[] arr2, int wordOffset, int numWords) {long popCount = 0;for (int i = wordOffset, end = wordOffset + numWords; i < end; ++i) {popCount += Long.bitCount(arr1[i] | arr2[i]);}return popCount;}","public static long pop_union(long[] arr1, long[] arr2, int wordOffset, int numWords) {long popCount = 0;for (int i = wordOffset, end = wordOffset + numWords; i < end; ++i) {<MASKED>}return popCount;}",popCount += Long.bitCount(arr1[i] | arr2[i]);
3089,c#,expression_statement,"public static long Pop_Union(long[] arr1, long[] arr2, int wordOffset, int numWords){long popCount = 0;for (int i = wordOffset, end = wordOffset + numWords; i < end; ++i){popCount += (arr1[i] | arr2[i]).PopCount();}return popCount;}","public static long Pop_Union(long[] arr1, long[] arr2, int wordOffset, int numWords){long popCount = 0;for (int i = wordOffset, end = wordOffset + numWords; i < end; ++i){<MASKED>}return popCount;}",popCount += (arr1[i] | arr2[i]).PopCount();
3090,java,expression_statement,public LongBuffer put(long c) {if (position == limit) {throw new BufferOverflowException();}backingArray[offset + position++] = c;return this;},public LongBuffer put(long c) {if (position == limit) {throw new BufferOverflowException();}<MASKED>return this;},backingArray[offset + position++] = c;
3091,c#,expression_statement,public override java.nio.LongBuffer put(long c){if (_position == _limit){throw new java.nio.BufferOverflowException();}backingArray[offset + _position++] = c;return this;},public override java.nio.LongBuffer put(long c){if (_position == _limit){throw new java.nio.BufferOverflowException();}<MASKED>return this;},backingArray[offset + _position++] = c;
3092,java,expression_statement,public ConstValueSource(float constant) {this.constant = constant;this.dv = constant;},public ConstValueSource(float constant) {<MASKED>this.dv = constant;},this.constant = constant;
3093,c#,expression_statement,public ConstValueSource(float constant){this.constant = constant;this.dv = constant;},public ConstValueSource(float constant){<MASKED>this.dv = constant;},this.constant = constant;
3094,java,expression_statement,"public FlushInfo(int numDocs, long estimatedSegmentSize) {this.numDocs = numDocs;this.estimatedSegmentSize = estimatedSegmentSize;}","public FlushInfo(int numDocs, long estimatedSegmentSize) {this.numDocs = numDocs;<MASKED>}",this.estimatedSegmentSize = estimatedSegmentSize;
3095,c#,expression_statement,"public FlushInfo(int numDocs, long estimatedSegmentSize){this.NumDocs = numDocs;this.EstimatedSegmentSize = estimatedSegmentSize;}","public FlushInfo(int numDocs, long estimatedSegmentSize){this.NumDocs = numDocs;<MASKED>}",this.EstimatedSegmentSize = estimatedSegmentSize;
3096,java,expression_statement,"public void print(char[] chars) {print(new String(chars, 0, chars.length));}",public void print(char[] chars) {<MASKED>},"print(new String(chars, 0, chars.length));"
3097,c#,expression_statement,"public virtual void print(char[] chars){print(new string(chars, 0, chars.Length));}",public virtual void print(char[] chars){<MASKED>},"print(new string(chars, 0, chars.Length));"
3098,java,expression_statement,public ListNodegroupsResult listNodegroups(ListNodegroupsRequest request) {request = beforeClientExecution(request);return executeListNodegroups(request);},public ListNodegroupsResult listNodegroups(ListNodegroupsRequest request) {<MASKED>return executeListNodegroups(request);},request = beforeClientExecution(request);
3099,c#,expression_statement,"public virtual ListNodegroupsResponse ListNodegroups(ListNodegroupsRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListNodegroupsRequestMarshaller.Instance;options.ResponseUnmarshaller = ListNodegroupsResponseUnmarshaller.Instance;return Invoke<ListNodegroupsResponse>(request, options);}","public virtual ListNodegroupsResponse ListNodegroups(ListNodegroupsRequest request){var options = new InvokeOptions();<MASKED>options.ResponseUnmarshaller = ListNodegroupsResponseUnmarshaller.Instance;return Invoke<ListNodegroupsResponse>(request, options);}",options.RequestMarshaller = ListNodegroupsRequestMarshaller.Instance;
3100,java,expression_statement,public PutSkillAuthorizationResult putSkillAuthorization(PutSkillAuthorizationRequest request) {request = beforeClientExecution(request);return executePutSkillAuthorization(request);},public PutSkillAuthorizationResult putSkillAuthorization(PutSkillAuthorizationRequest request) {<MASKED>return executePutSkillAuthorization(request);},request = beforeClientExecution(request);
3101,c#,expression_statement,"public virtual PutSkillAuthorizationResponse PutSkillAuthorization(PutSkillAuthorizationRequest request){var options = new InvokeOptions();options.RequestMarshaller = PutSkillAuthorizationRequestMarshaller.Instance;options.ResponseUnmarshaller = PutSkillAuthorizationResponseUnmarshaller.Instance;return Invoke<PutSkillAuthorizationResponse>(request, options);}","public virtual PutSkillAuthorizationResponse PutSkillAuthorization(PutSkillAuthorizationRequest request){var options = new InvokeOptions();<MASKED>options.ResponseUnmarshaller = PutSkillAuthorizationResponseUnmarshaller.Instance;return Invoke<PutSkillAuthorizationResponse>(request, options);}",options.RequestMarshaller = PutSkillAuthorizationRequestMarshaller.Instance;
3102,java,expression_statement,public DescribeSourceRegionsResult describeSourceRegions(DescribeSourceRegionsRequest request) {request = beforeClientExecution(request);return executeDescribeSourceRegions(request);},public DescribeSourceRegionsResult describeSourceRegions(DescribeSourceRegionsRequest request) {<MASKED>return executeDescribeSourceRegions(request);},request = beforeClientExecution(request);
3103,c#,expression_statement,"public virtual DescribeSourceRegionsResponse DescribeSourceRegions(DescribeSourceRegionsRequest request){var options = new InvokeOptions();options.RequestMarshaller = DescribeSourceRegionsRequestMarshaller.Instance;options.ResponseUnmarshaller = DescribeSourceRegionsResponseUnmarshaller.Instance;return Invoke<DescribeSourceRegionsResponse>(request, options);}","public virtual DescribeSourceRegionsResponse DescribeSourceRegions(DescribeSourceRegionsRequest request){var options = new InvokeOptions();<MASKED>options.ResponseUnmarshaller = DescribeSourceRegionsResponseUnmarshaller.Instance;return Invoke<DescribeSourceRegionsResponse>(request, options);}",options.RequestMarshaller = DescribeSourceRegionsRequestMarshaller.Instance;
3104,java,expression_statement,public SplitShardResult splitShard(SplitShardRequest request) {request = beforeClientExecution(request);return executeSplitShard(request);},public SplitShardResult splitShard(SplitShardRequest request) {<MASKED>return executeSplitShard(request);},request = beforeClientExecution(request);
3105,c#,expression_statement,"public virtual SplitShardResponse SplitShard(SplitShardRequest request){var options = new InvokeOptions();options.RequestMarshaller = SplitShardRequestMarshaller.Instance;options.ResponseUnmarshaller = SplitShardResponseUnmarshaller.Instance;return Invoke<SplitShardResponse>(request, options);}","public virtual SplitShardResponse SplitShard(SplitShardRequest request){var options = new InvokeOptions();<MASKED>options.ResponseUnmarshaller = SplitShardResponseUnmarshaller.Instance;return Invoke<SplitShardResponse>(request, options);}",options.RequestMarshaller = SplitShardRequestMarshaller.Instance;
3106,java,expression_statement,"public CreateTableRequest(String tableName, java.util.List<KeySchemaElement> keySchema) {setTableName(tableName);setKeySchema(keySchema);}","public CreateTableRequest(String tableName, java.util.List<KeySchemaElement> keySchema) {setTableName(tableName);<MASKED>}",setKeySchema(keySchema);
3107,c#,expression_statement,"public CreateTableRequest(string tableName, List<KeySchemaElement> keySchema){_tableName = tableName;_keySchema = keySchema;}","public CreateTableRequest(string tableName, List<KeySchemaElement> keySchema){<MASKED>_keySchema = keySchema;}",_tableName = tableName;
3108,java,expression_statement,"public void serialize(LittleEndianOutput out) {out.writeShort(field_1_id);out.writeByte(field_4_text.length());if (is16bit) {out.writeByte(0x01);StringUtil.putUnicodeLE(field_4_text, out);} else {out.writeByte(0x00);StringUtil.putCompressedUnicode(field_4_text, out);}}","public void serialize(LittleEndianOutput out) {out.writeShort(field_1_id);<MASKED>if (is16bit) {out.writeByte(0x01);StringUtil.putUnicodeLE(field_4_text, out);} else {out.writeByte(0x00);StringUtil.putCompressedUnicode(field_4_text, out);}}",out.writeByte(field_4_text.length());
3109,c#,expression_statement,"public override void Serialize(ILittleEndianOutput out1){out1.WriteShort(field_1_id);out1.WriteByte(field_4_text.Length);if (is16bit){out1.WriteByte(0x01);StringUtil.PutUnicodeLE(field_4_text, out1);}else{out1.WriteByte(0x00);StringUtil.PutCompressedUnicode(field_4_text, out1);}}","public override void Serialize(ILittleEndianOutput out1){out1.WriteShort(field_1_id);out1.WriteByte(field_4_text.Length);if (is16bit){<MASKED>StringUtil.PutUnicodeLE(field_4_text, out1);}else{out1.WriteByte(0x00);StringUtil.PutCompressedUnicode(field_4_text, out1);}}",out1.WriteByte(0x01);
3110,java,expression_statement,public UpdateVoiceTemplateResult updateVoiceTemplate(UpdateVoiceTemplateRequest request) {request = beforeClientExecution(request);return executeUpdateVoiceTemplate(request);},public UpdateVoiceTemplateResult updateVoiceTemplate(UpdateVoiceTemplateRequest request) {<MASKED>return executeUpdateVoiceTemplate(request);},request = beforeClientExecution(request);
3111,c#,expression_statement,"public virtual UpdateVoiceTemplateResponse UpdateVoiceTemplate(UpdateVoiceTemplateRequest request){var options = new InvokeOptions();options.RequestMarshaller = UpdateVoiceTemplateRequestMarshaller.Instance;options.ResponseUnmarshaller = UpdateVoiceTemplateResponseUnmarshaller.Instance;return Invoke<UpdateVoiceTemplateResponse>(request, options);}","public virtual UpdateVoiceTemplateResponse UpdateVoiceTemplate(UpdateVoiceTemplateRequest request){var options = new InvokeOptions();options.RequestMarshaller = UpdateVoiceTemplateRequestMarshaller.Instance;<MASKED>return Invoke<UpdateVoiceTemplateResponse>(request, options);}",options.ResponseUnmarshaller = UpdateVoiceTemplateResponseUnmarshaller.Instance;
3112,java,expression_statement,public BookBoolRecord(RecordInputStream in) {field_1_save_link_values = in.readShort();},public BookBoolRecord(RecordInputStream in) {<MASKED>},field_1_save_link_values = in.readShort();
3113,c#,expression_statement,public BookBoolRecord(RecordInputStream in1){field_1_save_link_values = in1.ReadShort();},public BookBoolRecord(RecordInputStream in1){<MASKED>},field_1_save_link_values = in1.ReadShort();
3114,java,expression_statement,public final Buffer flip() {limit = position;position = 0;mark = UNSET_MARK;return this;},public final Buffer flip() {<MASKED>position = 0;mark = UNSET_MARK;return this;},limit = position;
3115,c#,expression_statement,public java.nio.Buffer flip(){_limit = _position;_position = 0;_mark = UNSET_MARK;return this;},public java.nio.Buffer flip(){_limit = _position;_position = 0;<MASKED>return this;},_mark = UNSET_MARK;
3116,java,expression_statement,"public IntBuffer get(int[] dst, int dstOffset, int intCount) {Arrays.checkOffsetAndCount(dst.length, dstOffset, intCount);if (intCount > remaining()) {throw new BufferUnderflowException();}for (int i = dstOffset; i < dstOffset + intCount; ++i) {dst[i] = get();}return this;}","public IntBuffer get(int[] dst, int dstOffset, int intCount) {<MASKED>if (intCount > remaining()) {throw new BufferUnderflowException();}for (int i = dstOffset; i < dstOffset + intCount; ++i) {dst[i] = get();}return this;}","Arrays.checkOffsetAndCount(dst.length, dstOffset, intCount);"
3117,c#,expression_statement,"public virtual java.nio.IntBuffer get(int[] dst, int dstOffset, int intCount){java.util.Arrays.checkOffsetAndCount(dst.Length, dstOffset, intCount);if (intCount > remaining()){throw new java.nio.BufferUnderflowException();}{for (int i = dstOffset; i < dstOffset + intCount; ++i){dst[i] = get();}}return this;}","public virtual java.nio.IntBuffer get(int[] dst, int dstOffset, int intCount){<MASKED>if (intCount > remaining()){throw new java.nio.BufferUnderflowException();}{for (int i = dstOffset; i < dstOffset + intCount; ++i){dst[i] = get();}}return this;}","java.util.Arrays.checkOffsetAndCount(dst.Length, dstOffset, intCount);"
3118,java,expression_statement,public GroupingSearch setGroupDocsOffset(int groupDocsOffset) {this.groupDocsOffset = groupDocsOffset;return this;},public GroupingSearch setGroupDocsOffset(int groupDocsOffset) {<MASKED>return this;},this.groupDocsOffset = groupDocsOffset;
3119,c#,expression_statement,public virtual GroupingSearch SetGroupDocsOffset(int groupDocsOffset){this.groupDocsOffset = groupDocsOffset;return this;},public virtual GroupingSearch SetGroupDocsOffset(int groupDocsOffset){<MASKED>return this;},this.groupDocsOffset = groupDocsOffset;
3120,java,expression_statement,"public Builder() {this(16, 16);}",public Builder() {this<MASKED>},"(16, 16);"
3121,c#,expression_statement,public Builder(){InitializeInstanceFields();},public Builder(){<MASKED>},InitializeInstanceFields();
3122,java,expression_statement,public ListPolicyAttachmentsResult listPolicyAttachments(ListPolicyAttachmentsRequest request) {request = beforeClientExecution(request);return executeListPolicyAttachments(request);},public ListPolicyAttachmentsResult listPolicyAttachments(ListPolicyAttachmentsRequest request) {<MASKED>return executeListPolicyAttachments(request);},request = beforeClientExecution(request);
3123,c#,expression_statement,"public virtual ListPolicyAttachmentsResponse ListPolicyAttachments(ListPolicyAttachmentsRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListPolicyAttachmentsRequestMarshaller.Instance;options.ResponseUnmarshaller = ListPolicyAttachmentsResponseUnmarshaller.Instance;return Invoke<ListPolicyAttachmentsResponse>(request, options);}","public virtual ListPolicyAttachmentsResponse ListPolicyAttachments(ListPolicyAttachmentsRequest request){var options = new InvokeOptions();options.RequestMarshaller = ListPolicyAttachmentsRequestMarshaller.Instance;<MASKED>return Invoke<ListPolicyAttachmentsResponse>(request, options);}",options.ResponseUnmarshaller = ListPolicyAttachmentsResponseUnmarshaller.Instance;
3124,java,expression_statement,public UpdateLoginProfileRequest(String userName) {setUserName(userName);},public UpdateLoginProfileRequest(String userName) {<MASKED>},setUserName(userName);
3125,c#,expression_statement,public UpdateLoginProfileRequest(string userName){_userName = userName;},public UpdateLoginProfileRequest(string userName){<MASKED>},_userName = userName;
